
Nom de l'image                 PID Nom de la sessio NumÇro de s Utilisation  êtat            Nom d'utilisateur                                  Temps proces Titre de la fenàtre                                                     
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
svchost.exe                   1848 Services                   0     7ˇ024 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:04:36 N/A                                                                     
svchost.exe                   7380 Services                   0     3ˇ820 Ko Unknown         AUTORITE NT\Systäme                                     0:01:24 N/A                                                                     
svchost.exe                   4712 Services                   0       460 Ko Unknown         AUTORITE NT\Systäme                                     0:00:05 N/A                                                                     
svchost.exe                  15284 Services                   0     1ˇ424 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:30 N/A                                                                     
svchost.exe                   1204 Services                   0       496 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:04 N/A                                                                     
svchost.exe                  15720 Services                   0     1ˇ568 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:10 N/A                                                                     
svchost.exe                  16668 Services                   0       864 Ko Unknown         AUTORITE NT\Systäme                                     0:00:03 N/A                                                                     
svchost.exe                  11676 Services                   0     1ˇ528 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:05 N/A                                                                     
svchost.exe                  18196 Services                   0     1ˇ344 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:07 N/A                                                                     
svchost.exe                  18612 Services                   0       488 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:04 N/A                                                                     
svchost.exe                  16992 Services                   0       752 Ko Unknown         AUTORITE NT\Systäme                                     0:00:03 N/A                                                                     
svchost.exe                   8800 Services                   0       464 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:03 N/A                                                                     
svchost.exe                   6504 Services                   0       440 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:03 N/A                                                                     
HpSfuService64.exe            5232 Services                   0        24 Ko Unknown         AUTORITE NT\Systäme                                     0:00:01 N/A                                                                     
svchost.exe                   7048 Services                   0       468 Ko Unknown         AUTORITE NT\Systäme                                     0:00:01 N/A                                                                     
svchost.exe                  21432 Services                   0     1ˇ116 Ko Unknown         AUTORITE NT\Systäme                                     0:00:02 N/A                                                                     
httpd.exe                     2908 Services                   0       212 Ko Unknown         AUTORITE NT\Systäme                                     0:00:03 N/A                                                                     
httpd.exe                    19240 Services                   0       260 Ko Unknown         AUTORITE NT\Systäme                                     0:00:04 N/A                                                                     
mysqld.exe                   25336 Services                   0       196 Ko Unknown         AUTORITE NT\Systäme                                     0:00:01 N/A                                                                     
mysqld.exe                   25376 Services                   0        20 Ko Unknown         AUTORITE NT\Systäme                                     0:00:00 N/A                                                                     
